ID,date,title,eventDesc,location,eventTime,category,link,emailId
12,"Saturday, July 12 2014","By The Way, Meet Vera Stark","By The Way, Meet Vera Stark, a recent comedy by Pulitzer-Prize winning playwright Lynn Nottage, directed by UF Assistant Professor Tim Altmeyer, chronicles seventy years in the life of Vera Stark, a determined African-American maid and would-be Hollywood actress."," Black Box Theatre of the Nadine M. McGuire Theatre and Dance Pavilion
",7:30 PM,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/by-the-way-meet-vera-stark.php,lcraig@arts.ufl.edu
13,"Sunday, July 13 2014",Fall Advance Registration,Fall Advance Registration,null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/fall-advance-registration.php,kzemba@ufl.edu
14,"Sunday, July 13 2014",Creative B,"Creative B is art, film, dance, media, theatre and research centering around one common goal — to be creative this summer!"," Campus-Wide
",Varying,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/creative-b.php,lcraig@arts.ufl.edu
15,"Sunday, July 13 2014",Wolf to Woof: The Story of Dogs,"“Wolf to Woof” is the largest and most comprehensive exhibition ever created on the history, biology and evolution of dogs."," Florida Museum of Natural History
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/wolf-to-woof-the-story-of-dogs.php,kgardiner@flmnh.ufl.edu
16,"Monday, July 14 2014",Southeast Asian Butterflies in the “Butterfly Rainforest”,Visit the “Butterfly Rainforest” exhibit at the Florida Museum of Natural History from July 1 through Aug. 14 to discover an exotic assortment of butterfly and moth species and see their extraordinary features as part of the theme “Butterflies of Southeast Asia.”," Florida Museum of Natural History, University of Florida Cultural Plaza, 3215 Hull Road
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/southeast-asian-butterflies-in-the-butterfly-rainforest.php,kprokos@flmnh.ufl.edu
17,"Monday, July 14 2014",Fall Advance Registration,Fall Advance Registration,null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/fall-advance-registration.php,kzemba@ufl.edu
18,"Monday, July 14 2014",Creative B,"Creative B is art, film, dance, media, theatre and research centering around one common goal — to be creative this summer!"," Campus-Wide
",Varying,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/creative-b.php,lcraig@arts.ufl.edu
19,"Monday, July 14 2014",Wolf to Woof: The Story of Dogs,"“Wolf to Woof” is the largest and most comprehensive exhibition ever created on the history, biology and evolution of dogs."," Florida Museum of Natural History
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/wolf-to-woof-the-story-of-dogs.php,kgardiner@flmnh.ufl.edu
20,"Tuesday, July 15 2014",Southeast Asian Butterflies in the “Butterfly Rainforest”,Visit the “Butterfly Rainforest” exhibit at the Florida Museum of Natural History from July 1 through Aug. 14 to discover an exotic assortment of butterfly and moth species and see their extraordinary features as part of the theme “Butterflies of Southeast Asia.”," Florida Museum of Natural History, University of Florida Cultural Plaza, 3215 Hull Road
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/southeast-asian-butterflies-in-the-butterfly-rainforest.php,kprokos@flmnh.ufl.edu
21,"Tuesday, July 15 2014",Fall Advance Registration,Fall Advance Registration,null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/fall-advance-registration.php,kzemba@ufl.edu
22,"Wednesday, July 16 2014",Creative B,"Creative B is art, film, dance, media, theatre and research centering around one common goal — to be creative this summer!"," Campus-Wide
",Varying,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/creative-b.php,lcraig@arts.ufl.edu
23,"Wednesday, July 16 2014",Wolf to Woof: The Story of Dogs,"“Wolf to Woof” is the largest and most comprehensive exhibition ever created on the history, biology and evolution of dogs."," Florida Museum of Natural History
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/wolf-to-woof-the-story-of-dogs.php,kgardiner@flmnh.ufl.edu
24,"Thursday, July 17 2014",Southeast Asian Butterflies in the “Butterfly Rainforest”,Visit the “Butterfly Rainforest” exhibit at the Florida Museum of Natural History from July 1 through Aug. 14 to discover an exotic assortment of butterfly and moth species and see their extraordinary features as part of the theme “Butterflies of Southeast Asia.”," Florida Museum of Natural History, University of Florida Cultural Plaza, 3215 Hull Road
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/southeast-asian-butterflies-in-the-butterfly-rainforest.php,kprokos@flmnh.ufl.edu
25,"Thursday, July 17 2014",Part-Time Job Fair,This fair provides you a great way to speak to UF departments & local employers about part-time employment.," Reitz Union Breezeway
",10 AM - 2 PM,UF Calendar,http://calendar.ufl.edu/event-archive/2014/july/part-time-job-fair.php,crcfairs@crc.ufl.edu
26,"Thursday, July 17 2014",Basetrack,Sponsored by UF Health Shands," Phillips Center
",UF Calendar,,http://calendar.ufl.edu/event-archive/2014/july/basetrack.php,adouglas@performingarts.ufl.edu
27,"Friday, July 18 2014",Fall Advance Registration,Fall Advance Registration,null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/fall-advance-registration.php,kzemba@ufl.edu
28,"Friday, July 18 2014",Creative B,"Creative B is art, film, dance, media, theatre and research centering around one common goal — to be creative this summer!"," Campus-Wide
",Varying,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/creative-b.php,lcraig@arts.ufl.edu
29,"Friday, July 18 2014",Wolf to Woof: The Story of Dogs,"“Wolf to Woof” is the largest and most comprehensive exhibition ever created on the history, biology and evolution of dogs."," Florida Museum of Natural History
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/wolf-to-woof-the-story-of-dogs.php,kgardiner@flmnh.ufl.edu
30,"Friday, July 18 2014",Southeast Asian Butterflies in the “Butterfly Rainforest”,Visit the “Butterfly Rainforest” exhibit at the Florida Museum of Natural History from July 1 through Aug. 14 to discover an exotic assortment of butterfly and moth species and see their extraordinary features as part of the theme “Butterflies of Southeast Asia.”," Florida Museum of Natural History, University of Florida Cultural Plaza, 3215 Hull Road
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/southeast-asian-butterflies-in-the-butterfly-rainforest.php,kprokos@flmnh.ufl.edu
31,"Saturday, July 19 2014",Fall Advance Registration,Fall Advance Registration,null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/fall-advance-registration.php,kzemba@ufl.edu
32,"Saturday, July 19 2014",Creative B,"Creative B is art, film, dance, media, theatre and research centering around one common goal — to be creative this summer!"," Campus-Wide
",Varying,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/creative-b.php,lcraig@arts.ufl.edu
33,"Saturday, July 19 2014",Wolf to Woof: The Story of Dogs,"“Wolf to Woof” is the largest and most comprehensive exhibition ever created on the history, biology and evolution of dogs."," Florida Museum of Natural History
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/wolf-to-woof-the-story-of-dogs.php,kgardiner@flmnh.ufl.edu
34,"Sunday, July 20 2014",Southeast Asian Butterflies in the “Butterfly Rainforest”,Visit the “Butterfly Rainforest” exhibit at the Florida Museum of Natural History from July 1 through Aug. 14 to discover an exotic assortment of butterfly and moth species and see their extraordinary features as part of the theme “Butterflies of Southeast Asia.”," Florida Museum of Natural History, University of Florida Cultural Plaza, 3215 Hull Road
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/southeast-asian-butterflies-in-the-butterfly-rainforest.php,kprokos@flmnh.ufl.edu
35,"Sunday, July 20 2014",Fall Advance Registration,Fall Advance Registration,null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/fall-advance-registration.php,kzemba@ufl.edu
36,"Sunday, July 20 2014",Creative B,"Creative B is art, film, dance, media, theatre and research centering around one common goal — to be creative this summer!"," Campus-Wide
",Varying,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/creative-b.php,lcraig@arts.ufl.edu
37,"Monday, July 21 2014",Wolf to Woof: The Story of Dogs,"“Wolf to Woof” is the largest and most comprehensive exhibition ever created on the history, biology and evolution of dogs."," Florida Museum of Natural History
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/wolf-to-woof-the-story-of-dogs.php,kgardiner@flmnh.ufl.edu
38,"Monday, July 21 2014",Southeast Asian Butterflies in the “Butterfly Rainforest”,Visit the “Butterfly Rainforest” exhibit at the Florida Museum of Natural History from July 1 through Aug. 14 to discover an exotic assortment of butterfly and moth species and see their extraordinary features as part of the theme “Butterflies of Southeast Asia.”," Florida Museum of Natural History, University of Florida Cultural Plaza, 3215 Hull Road
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/southeast-asian-butterflies-in-the-butterfly-rainforest.php,kprokos@flmnh.ufl.edu
39,"Tuesday, July 22 2014",Fall Advance Registration,Fall Advance Registration,null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/fall-advance-registration.php,kzemba@ufl.edu
40,"Tuesday, July 22 2014",Creative B,"Creative B is art, film, dance, media, theatre and research centering around one common goal — to be creative this summer!"," Campus-Wide
",Varying,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/creative-b.php,lcraig@arts.ufl.edu
41,"Tuesday, July 22 2014",Wolf to Woof: The Story of Dogs,"“Wolf to Woof” is the largest and most comprehensive exhibition ever created on the history, biology and evolution of dogs."," Florida Museum of Natural History
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/wolf-to-woof-the-story-of-dogs.php,kgardiner@flmnh.ufl.edu
42,"Wednesday, July 23 2014",Southeast Asian Butterflies in the “Butterfly Rainforest”,Visit the “Butterfly Rainforest” exhibit at the Florida Museum of Natural History from July 1 through Aug. 14 to discover an exotic assortment of butterfly and moth species and see their extraordinary features as part of the theme “Butterflies of Southeast Asia.”," Florida Museum of Natural History, University of Florida Cultural Plaza, 3215 Hull Road
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/southeast-asian-butterflies-in-the-butterfly-rainforest.php,kprokos@flmnh.ufl.edu
43,"Wednesday, July 23 2014",Swamp Dance Fest Public Showings,Pesented by School of Theatre and DanceSwamp Dance opens the doors to the public each Friday to take a peak at what students and choreographers have been working on during the week.," Nadine M. McGuire Pavilion - Studio G6
",5:00 PM,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/swamp-dance-fest-public-showings.php,lcraig@arts.ufl.edu
44,"Thursday, July 24 2014",Fall Advance Registration,Fall Advance Registration,null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/fall-advance-registration.php,kzemba@ufl.edu
45,"Thursday, July 24 2014",Creative B,"Creative B is art, film, dance, media, theatre and research centering around one common goal — to be creative this summer!"," Campus-Wide
",Varying,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/creative-b.php,lcraig@arts.ufl.edu
46,"Friday, July 25 2014",Wolf to Woof: The Story of Dogs,"“Wolf to Woof” is the largest and most comprehensive exhibition ever created on the history, biology and evolution of dogs."," Florida Museum of Natural History
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/wolf-to-woof-the-story-of-dogs.php,kgardiner@flmnh.ufl.edu
47,"Friday, July 25 2014",Southeast Asian Butterflies in the “Butterfly Rainforest”,Visit the “Butterfly Rainforest” exhibit at the Florida Museum of Natural History from July 1 through Aug. 14 to discover an exotic assortment of butterfly and moth species and see their extraordinary features as part of the theme “Butterflies of Southeast Asia.”," Florida Museum of Natural History, University of Florida Cultural Plaza, 3215 Hull Road
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/southeast-asian-butterflies-in-the-butterfly-rainforest.php,kprokos@flmnh.ufl.edu
48,"Friday, July 25 2014",Fall Advance Registration,Fall Advance Registration,null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/fall-advance-registration.php,kzemba@ufl.edu
49,"Friday, July 25 2014",Creative B,"Creative B is art, film, dance, media, theatre and research centering around one common goal — to be creative this summer!"," Campus-Wide
",Varying,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/creative-b.php,lcraig@arts.ufl.edu
50,"Saturday, July 26 2014",Wolf to Woof: The Story of Dogs,"“Wolf to Woof” is the largest and most comprehensive exhibition ever created on the history, biology and evolution of dogs."," Florida Museum of Natural History
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/wolf-to-woof-the-story-of-dogs.php,kgardiner@flmnh.ufl.edu
51,"Saturday, July 26 2014",Southeast Asian Butterflies in the “Butterfly Rainforest”,Visit the “Butterfly Rainforest” exhibit at the Florida Museum of Natural History from July 1 through Aug. 14 to discover an exotic assortment of butterfly and moth species and see their extraordinary features as part of the theme “Butterflies of Southeast Asia.”," Florida Museum of Natural History, University of Florida Cultural Plaza, 3215 Hull Road
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/southeast-asian-butterflies-in-the-butterfly-rainforest.php,kprokos@flmnh.ufl.edu
52,"Sunday, July 27 2014",Fall Advance Registration,Fall Advance Registration,null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/fall-advance-registration.php,kzemba@ufl.edu
53,"Sunday, July 27 2014",Creative B,"Creative B is art, film, dance, media, theatre and research centering around one common goal — to be creative this summer!"," Campus-Wide
",Varying,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/creative-b.php,lcraig@arts.ufl.edu
54,"Sunday, July 27 2014",Wolf to Woof: The Story of Dogs,"“Wolf to Woof” is the largest and most comprehensive exhibition ever created on the history, biology and evolution of dogs."," Florida Museum of Natural History
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/wolf-to-woof-the-story-of-dogs.php,kgardiner@flmnh.ufl.edu
55,"Monday, July 28 2014",Southeast Asian Butterflies in the “Butterfly Rainforest”,Visit the “Butterfly Rainforest” exhibit at the Florida Museum of Natural History from July 1 through Aug. 14 to discover an exotic assortment of butterfly and moth species and see their extraordinary features as part of the theme “Butterflies of Southeast Asia.”," Florida Museum of Natural History, University of Florida Cultural Plaza, 3215 Hull Road
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/southeast-asian-butterflies-in-the-butterfly-rainforest.php,kprokos@flmnh.ufl.edu
56,"Monday, July 28 2014",Fall Advance Registration,Fall Advance Registration,null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/fall-advance-registration.php,kzemba@ufl.edu
57,"Monday, July 28 2014",Creative B,"Creative B is art, film, dance, media, theatre and research centering around one common goal — to be creative this summer!"," Campus-Wide
",Varying,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/creative-b.php,lcraig@arts.ufl.edu
58,"Tuesday, July 29 2014",Wolf to Woof: The Story of Dogs,"“Wolf to Woof” is the largest and most comprehensive exhibition ever created on the history, biology and evolution of dogs."," Florida Museum of Natural History
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/wolf-to-woof-the-story-of-dogs.php,kgardiner@flmnh.ufl.edu
59,"Tuesday, July 29 2014",Southeast Asian Butterflies in the “Butterfly Rainforest”,Visit the “Butterfly Rainforest” exhibit at the Florida Museum of Natural History from July 1 through Aug. 14 to discover an exotic assortment of butterfly and moth species and see their extraordinary features as part of the theme “Butterflies of Southeast Asia.”," Florida Museum of Natural History, University of Florida Cultural Plaza, 3215 Hull Road
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/southeast-asian-butterflies-in-the-butterfly-rainforest.php,kprokos@flmnh.ufl.edu
60,"Wednesday, July 30 2014",Fall Advance Registration,Fall Advance Registration,null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/fall-advance-registration.php,kzemba@ufl.edu
61,"Wednesday, July 30 2014",Creative B,"Creative B is art, film, dance, media, theatre and research centering around one common goal — to be creative this summer!"," Campus-Wide
",Varying,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/creative-b.php,lcraig@arts.ufl.edu
62,"Wednesday, July 30 2014",Wolf to Woof: The Story of Dogs,"“Wolf to Woof” is the largest and most comprehensive exhibition ever created on the history, biology and evolution of dogs."," Florida Museum of Natural History
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/wolf-to-woof-the-story-of-dogs.php,kgardiner@flmnh.ufl.edu
63,"Thursday, July 31 2014",Southeast Asian Butterflies in the “Butterfly Rainforest”,Visit the “Butterfly Rainforest” exhibit at the Florida Museum of Natural History from July 1 through Aug. 14 to discover an exotic assortment of butterfly and moth species and see their extraordinary features as part of the theme “Butterflies of Southeast Asia.”," Florida Museum of Natural History, University of Florida Cultural Plaza, 3215 Hull Road
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/southeast-asian-butterflies-in-the-butterfly-rainforest.php,kprokos@flmnh.ufl.edu
64,"Thursday, July 31 2014",Fall Advance Registration,Fall Advance Registration,null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/fall-advance-registration.php,kzemba@ufl.edu
65,"Friday, August 01 2014",Creative B,"Creative B is art, film, dance, media, theatre and research centering around one common goal — to be creative this summer!"," Campus-Wide
",Varying,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/creative-b.php,lcraig@arts.ufl.edu
66,"Friday, August 01 2014",Wolf to Woof: The Story of Dogs,"“Wolf to Woof” is the largest and most comprehensive exhibition ever created on the history, biology and evolution of dogs."," Florida Museum of Natural History
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/wolf-to-woof-the-story-of-dogs.php,kgardiner@flmnh.ufl.edu
67,"Friday, August 01 2014",Southeast Asian Butterflies in the “Butterfly Rainforest”,Visit the “Butterfly Rainforest” exhibit at the Florida Museum of Natural History from July 1 through Aug. 14 to discover an exotic assortment of butterfly and moth species and see their extraordinary features as part of the theme “Butterflies of Southeast Asia.”," Florida Museum of Natural History, University of Florida Cultural Plaza, 3215 Hull Road
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/southeast-asian-butterflies-in-the-butterfly-rainforest.php,kprokos@flmnh.ufl.edu
68,"Friday, August 01 2014",Fall Advance Registration,Fall Advance Registration,null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/fall-advance-registration.php,kzemba@ufl.edu
69,"Saturday, August 02 2014",Creative B,"Creative B is art, film, dance, media, theatre and research centering around one common goal — to be creative this summer!"," Campus-Wide
",Varying,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/creative-b.php,lcraig@arts.ufl.edu
70,"Saturday, August 02 2014",Wolf to Woof: The Story of Dogs,"“Wolf to Woof” is the largest and most comprehensive exhibition ever created on the history, biology and evolution of dogs."," Florida Museum of Natural History
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/wolf-to-woof-the-story-of-dogs.php,kgardiner@flmnh.ufl.edu
71,"Saturday, August 02 2014",Southeast Asian Butterflies in the “Butterfly Rainforest”,Visit the “Butterfly Rainforest” exhibit at the Florida Museum of Natural History from July 1 through Aug. 14 to discover an exotic assortment of butterfly and moth species and see their extraordinary features as part of the theme “Butterflies of Southeast Asia.”," Florida Museum of Natural History, University of Florida Cultural Plaza, 3215 Hull Road
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/southeast-asian-butterflies-in-the-butterfly-rainforest.php,kprokos@flmnh.ufl.edu
72,"Sunday, August 03 2014",7-on7 Flag Football Tournament,7-on7 Flag Football Tournament," SWRC Fields
",All Day,UF Calendar,http://calendar.ufl.edu/event-archive/2014/july/7-on7-flag-football-tournament.php,haydenm@recsports.ufl.edu
73,"Sunday, August 03 2014",Swamp Dance Fest Public Showings,Pesented by School of Theatre and DanceSwamp Dance opens the doors to the public each Friday to take a peak at what students and choreographers have been working on during the week.," Nadine M. McGuire Pavilion - Studio G6
",5:00 PM,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/swamp-dance-fest-public-showings.php,lcraig@arts.ufl.edu
74,"Monday, August 04 2014",Fall Advance Registration,Fall Advance Registration,null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/fall-advance-registration.php,kzemba@ufl.edu
75,"Monday, August 04 2014",Creative B,"Creative B is art, film, dance, media, theatre and research centering around one common goal — to be creative this summer!"," Campus-Wide
",Varying,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/creative-b.php,lcraig@arts.ufl.edu
76,"Tuesday, August 05 2014",Wolf to Woof: The Story of Dogs,"“Wolf to Woof” is the largest and most comprehensive exhibition ever created on the history, biology and evolution of dogs."," Florida Museum of Natural History
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/wolf-to-woof-the-story-of-dogs.php,kgardiner@flmnh.ufl.edu
77,"Wednesday, August 06 2014",Southeast Asian Butterflies in the “Butterfly Rainforest”,Visit the “Butterfly Rainforest” exhibit at the Florida Museum of Natural History from July 1 through Aug. 14 to discover an exotic assortment of butterfly and moth species and see their extraordinary features as part of the theme “Butterflies of Southeast Asia.”," Florida Museum of Natural History, University of Florida Cultural Plaza, 3215 Hull Road
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/southeast-asian-butterflies-in-the-butterfly-rainforest.php,kprokos@flmnh.ufl.edu
78,"Wednesday, August 06 2014",7-on7 Flag Football Tournament,7-on7 Flag Football Tournament," SWRC Fields
",All Day,UF Calendar,http://calendar.ufl.edu/event-archive/2014/july/7-on7-flag-football-tournament.php,haydenm@recsports.ufl.edu
79,"Thursday, August 07 2014",Fall Advance Registration,Fall Advance Registration,null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/fall-advance-registration.php,kzemba@ufl.edu
80,"Thursday, August 07 2014",Creative B,"Creative B is art, film, dance, media, theatre and research centering around one common goal — to be creative this summer!"," Campus-Wide
",Varying,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/creative-b.php,lcraig@arts.ufl.edu
81,"Friday, August 08 2014",Wolf to Woof: The Story of Dogs,"“Wolf to Woof” is the largest and most comprehensive exhibition ever created on the history, biology and evolution of dogs."," Florida Museum of Natural History
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/wolf-to-woof-the-story-of-dogs.php,kgardiner@flmnh.ufl.edu
82,"Friday, August 08 2014",Southeast Asian Butterflies in the “Butterfly Rainforest”,Visit the “Butterfly Rainforest” exhibit at the Florida Museum of Natural History from July 1 through Aug. 14 to discover an exotic assortment of butterfly and moth species and see their extraordinary features as part of the theme “Butterflies of Southeast Asia.”," Florida Museum of Natural History, University of Florida Cultural Plaza, 3215 Hull Road
",All Day,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/southeast-asian-butterflies-in-the-butterfly-rainforest.php,kprokos@flmnh.ufl.edu
83,"Saturday, August 09 2014",Fall Advance Registration,Fall Advance Registration,null,All Day,"Academic Calendar, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/fall-advance-registration.php,kzemba@ufl.edu
84,"Saturday, August 09 2014",Creative B,"Creative B is art, film, dance, media, theatre and research centering around one common goal — to be creative this summer!"," Campus-Wide
",Varying,"Arts & Museums, UF Calendar",http://calendar.ufl.edu/event-archive/2014/july/creative-b.php,lcraig@arts.ufl.edu
